 phys1:  dp =   0.02, dl =   0.02, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.65, dl =  -0.24, dh =   0.88,  reject!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   2.18, dl =   0.84, dh =   1.34,  reject!
 split:  dp =   1.04, dl =  -0.01, dh =   1.05,  reject!
 merge:  dp =  32.19, dl =  31.63, dh =   0.57,  reject!
  int2:  dp =   0.00, dl =  -0.00, dh =   0.00,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.95, dl =   0.00, dh =   0.95,  ACCEPT!
 merge:  dp =   0.40, dl =   0.00, dh =   0.40,  reject!
  int2:  dp =   0.25, dl =  -0.00, dh =   0.25,  reject!
  int2:  dp =  -0.01, dl =  -0.00, dh =  -0.00,  ACCEPT!
  int2:  dp =  -0.02, dl =   0.00, dh =  -0.02,  ACCEPT!
 merge:  dp =   0.51, dl =   0.03, dh =   0.47,  ACCEPT!
 merge:  dp =   0.69, dl =   0.73, dh =  -0.03,  reject!
  int2:  dp =  -0.13, dl =  -0.01, dh =  -0.12,  ACCEPT!
 phys4:  dp =  -0.01, dl =  -0.01, dh =  -0.00,  ACCEPT!
  int1:  dp =   0.13, dl =  -0.00, dh =   0.13,  reject!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   1.36, dl =   0.00, dh =   1.36,  ACCEPT!
  int2:  dp =   0.06, dl =   0.00, dh =   0.06,  reject!
 merge:  dp =  -1.36, dl =   0.00, dh =  -1.36,  ACCEPT!
  int2:  dp =  -0.01, dl =  -0.03, dh =   0.02,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.06, dl =   0.00, dh =  -0.06,  ACCEPT!
 merge:  dp =  -0.60, dl =  -0.00, dh =  -0.60,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   1.43, dl =  -0.00, dh =   1.43,  reject!
 phys4:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
  int2:  dp =  -0.05, dl =  -0.00, dh =  -0.05,  ACCEPT!
 phys4:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 split:  dp =  -0.76, dl =   0.00, dh =  -0.76,  ACCEPT!
 split:  dp =   1.96, dl =   1.12, dh =   0.84,  reject!
 phys1:  dp =   0.33, dl =   0.33, dh =  -0.00,  ACCEPT!
  int1:  dp =   0.12, dl =   0.08, dh =   0.05,  ACCEPT!
 merge:  dp =   1.20, dl =   0.11, dh =   1.09,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.48, dl =   0.00, dh =   0.48,  ACCEPT!
  int2:  dp =  -0.02, dl =  -0.00, dh =  -0.02,  ACCEPT!
 merge:  dp =   0.52, dl =  -0.00, dh =   0.52,  ACCEPT!
 split:  dp =  -0.36, dl =  -0.00, dh =  -0.35,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   0.71, dl =  -0.00, dh =   0.71,  reject!
  int1:  dp =  -0.11, dl =   0.00, dh =  -0.11,  ACCEPT!
  int1:  dp =  -0.01, dl =   0.00, dh =  -0.01,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.96, dl =   0.00, dh =   0.96,  reject!
  int2:  dp =  -0.03, dl =   0.00, dh =  -0.03,  ACCEPT!
 split:  dp =  -0.13, dl =   0.00, dh =  -0.13,  ACCEPT!
 merge:  dp =   1.72, dl =  -0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   0.80, dl =   0.04, dh =   0.76,  reject!
 split:  dp =  -0.51, dl =   0.02, dh =  -0.54,  ACCEPT!
  int2:  dp =  -0.16, dl =   0.00, dh =  -0.16,  ACCEPT!
 split:  dp =   3.32, dl =   0.00, dh =   3.32,  reject!
 merge:  dp =   1.19, dl =  -0.00, dh =   1.19,  reject!
 merge:  dp =   2.29, dl =   2.28, dh =   0.01,  reject!
  int2:  dp =   0.11, dl =   0.02, dh =   0.09,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 split:  dp =  -0.40, dl =  -0.00, dh =  -0.40,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys4:  dp =  -0.41, dl =  -0.41, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.01, dl =  -0.00, dh =  -0.01,  ACCEPT!
 merge:  dp =  -0.25, dl =  -0.21, dh =  -0.05,  ACCEPT!
 merge:  dp =   1.19, dl =  -0.00, dh =   1.19,  reject!
 phys1:  dp =  -0.50, dl =  -0.50, dh =  -0.00,  ACCEPT!
  int2:  dp =  -0.01, dl =  -0.02, dh =   0.01,  ACCEPT!
 split:  dp =   0.68, dl =  -0.00, dh =   0.68,  reject!
  int2:  dp =  -0.01, dl =  -0.00, dh =  -0.01,  ACCEPT!
 phys1:  dp =  -0.01, dl =  -0.01, dh =  -0.00,  ACCEPT!
 phys4:  dp =   1.45, dl =   1.45, dh =  -0.00,  reject!
 merge:  dp =   1.48, dl =   0.00, dh =   1.48,  reject!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.08, dl =  -0.00, dh =  -0.08,  ACCEPT!
  int2:  dp =   0.02, dl =   0.03, dh =  -0.01,  ACCEPT!
 merge:  dp =   0.43, dl =   0.01, dh =   0.42,  ACCEPT!
