layers, nll
5, 671.935814
5, 671.955752
5, 620.350634
4, 620.248056
4, 620.248056
5, 637.893793
5, 637.893793
4, 620.248056
4, 624.706431
4, 624.706431
4, 626.281455
4, 626.281455
4, 626.281455
4, 1188.554829
4, 624.224074
4, 624.211495
4, 624.221074
4, 624.221074
4, 624.221074
5, 671.769658
5, 671.769658
5, 671.263802
5, 670.453508
5, 670.453508
5, 701.434745
5, 700.236860
6, 699.616541
6, 699.616541
6, 699.602375
6, 699.579808
7, 795.854836
8, 796.072349
9, 794.092798
9, 794.092798
9, 792.925071
9, 792.922928
9, 788.284582
9, 788.284582
10, 788.277433
10, 788.277433
10, 815.918786
10, 815.112981
10, 815.231797
10, 801.761079
10, 800.586495
10, 800.603248
10, 800.604442
10, 800.604442
9, 801.489900
9, 800.794772
9, 800.794772
10, 813.059892
9, 813.032979
9, 296.834363
9, 287.778302
9, 287.800867
10, 287.800882
10, 145.744792
10, 144.374068
10, 144.374068
9, 141.727721
9, 141.727702
9, 141.729153
8, 133.082844
8, 138.783224
8, 138.783224
8, 138.783224
8, 135.489226
8, 135.489227
8, 135.488696
8, 418.748646
8, 418.748646
7, 418.771276
7, 418.771276
7, 418.771276
7, 445.082347
7, 445.082347
7, 464.239525
7, 464.239525
7, 464.545833
7, 464.545833
7, 748.154430
6, 747.224425
6, 747.148732
6, 747.148732
7, 746.660953
7, 746.644742
7, 746.397988
7, 747.608261
7, 747.608261
7, 747.604054
7, 747.604054
7, 747.724433
8, 747.946536
8, 747.946668
7, 746.189786
7, 746.192784
7, 746.181686
7, 746.151382
8, 778.755184
8, 778.755184
7, 778.754114
7, 778.754577
7, 778.754876
7, 778.371421
7, 778.371351
8, 778.339823
8, 778.812550
8, 778.812637
8, 777.020652
7, 777.022901
7, 777.023044
7, 777.130600
8, 776.922375
8, 776.922375
8, 776.922375
8, 776.922390
9, 792.500033
9, 792.500033
9, 792.500725
9, 792.500725
9, 792.500725
8, 792.500725
8, 795.562823
8, 798.107336
8, 798.017312
8, 798.007293
8, 1892.742252
8, 1892.742252
8, 1892.742252
8, 1892.803363
8, 1892.803363
8, 1862.345666
8, 1862.345666
8, 1862.368743
8, 1862.368743
8, 1862.368743
8, 1862.368743
8, 1862.369214
8, 1862.363213
7, 1862.279017
7, 1848.815705
7, 1848.815705
7, 1848.887447
7, 1848.865759
7, 1848.865759
7, 1852.934935
6, 1852.934935
6, 449.845416
6, 463.385766
6, 455.196753
6, 455.196753
6, 443.579157
6, 443.580491
6, 443.521312
6, 443.521312
6, 443.521312
6, 443.521312
6, 443.521312
6, 442.110850
6, 442.110850
6, 442.111961
6, 442.111964
6, 441.821231
6, 441.821231
6, 441.821231
6, 441.751105
6, 432.208688
6, 445.227906
6, 460.172647
6, 460.172647
6, 460.172647
7, 460.260198
6, 460.251495
6, 460.251495
6, 460.222134
6, 460.222134
6, 460.222134
6, 460.222134
6, 460.222134
6, 460.307110
6, 460.307110
6, 461.877420
6, 228.798403
6, 228.786195
6, 228.786195
7, 228.786195
7, 228.786618
7, 228.786618
7, 228.786618
7, 228.786618
8, 228.764988
8, 228.764988
8, 228.764988
8, 228.764988
7, 228.764988
7, 228.754205
7, 228.754205
7, 230.678018
7, 230.673801
7, 230.673801
7, 230.666724
7, 230.498149
8, 230.389004
8, 230.391646
8, 230.391646
8, 230.391659
8, 230.379215
9, 230.653734
9, 230.653726
9, 164.532457
9, 164.532457
9, 164.528681
9, 164.528636
9, 164.528636
9, 164.591826
9, 164.589397
9, 164.557231
8, 157.431188
8, 157.429379
9, 157.294488
9, 153.336955
9, 153.339753
9, 153.339753
9, 153.339767
9, 533.765818
9, 533.765818
10, 533.765818
11, 533.765818
11, 533.765818
11, 533.765818
11, 533.765820
11, 533.528466
11, 533.317008
11, 533.354487
11, 528.286009
12, 528.286009
13, 528.286241
13, 528.286319
13, 528.286319
13, 525.927877
13, 525.925852
12, 525.925852
11, 526.566698
11, 526.561394
11, 534.333310
12, 490.287143
12, 490.287143
12, 490.287143
12, 490.621015
12, 490.621015
11, 490.621015
11, 490.621015
11, 490.621015
11, 490.739330
11, 490.739330
11, 490.739330
11, 490.739330
11, 490.740243
11, 485.242456
11, 497.749213
11, 499.870421
12, 652.833934
12, 652.833934
12, 652.833934
12, 652.833934
12, 652.833934
12, 652.833934
12, 652.427878
12, 652.082469
12, 652.875795
12, 653.259878
12, 653.260694
12, 653.262848
12, 653.262848
12, 653.262848
12, 703.630316
12, 703.630316
12, 703.624392
13, 703.624392
13, 607.062980
13, 607.404485
12, 607.442949
12, 607.444421
12, 607.444421
12, 607.444421
12, 607.444421
12, 623.833223
12, 623.833223
11, 623.833223
11, 623.833223
10, 502.899657
10, 502.899617
10, 502.899617
10, 502.899617
10, 514.851201
11, 514.851201
11, 514.851201
11, 514.851201
12, 514.878225
12, 514.878225
12, 514.878225
11, 514.851201
11, 514.851201
11, 514.851201
11, 514.851201
11, 514.860594
11, 514.860594
11, 514.860594
11, 514.860594
11, 509.596840
11, 510.718949
11, 510.718949
11, 510.718949
11, 512.124864
11, 512.124864
11, 512.124864
11, 512.124864
11, 504.115242
11, 504.115242
11, 504.115242
11, 504.115242
10, 504.113776
10, 504.113776
10, 504.113776
9, 504.113776
10, 504.328663
9, 504.328663
9, 504.328663
9, 230.982503
9, 230.982503
